Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Steps (count)
08-Apr-2018 00:00,09-Apr-2018 00:00,0.0,0.0,0.0,854.0
09-Apr-2018 00:00,10-Apr-2018 00:00,0.0,0.0,4.0,5057.0
10-Apr-2018 00:00,11-Apr-2018 00:00,0.0,0.0,1.0,2689.0
11-Apr-2018 00:00,12-Apr-2018 00:00,0.0,0.0,8.0,7533.0
12-Apr-2018 00:00,13-Apr-2018 00:00,0.0,0.0,2.0,3610.0
13-Apr-2018 00:00,14-Apr-2018 00:00,0.0,0.0,1.0,5402.0
14-Apr-2018 00:00,15-Apr-2018 00:00,0.0,0.0,4.0,6214.0
15-Apr-2018 00:00,16-Apr-2018 00:00,0.0,0.0,0.0,2494.0
16-Apr-2018 00:00,17-Apr-2018 00:00,0.0,0.0,0.0,3944.0
17-Apr-2018 00:00,18-Apr-2018 00:00,0.0,0.0,27.0,9321.0
18-Apr-2018 00:00,19-Apr-2018 00:00,0.0,0.0,0.0,3813.0
19-Apr-2018 00:00,20-Apr-2018 00:00,0.0,0.0,1.0,1133.0
20-Apr-2018 00:00,21-Apr-2018 00:00,0.0,0.0,0.0,234.0
21-Apr-2018 00:00,22-Apr-2018 00:00,0.0,0.0,5.0,2815.51439541731
22-Apr-2018 00:00,23-Apr-2018 00:00,0.0,0.0,38.0,10186.4856045827
23-Apr-2018 00:00,24-Apr-2018 00:00,0.0,0.0,2.0,1552.0
24-Apr-2018 00:00,25-Apr-2018 00:00,0.0,0.0,3.0,2240.0
25-Apr-2018 00:00,26-Apr-2018 00:00,0.0,0.0,2.0,3774.0
26-Apr-2018 00:00,27-Apr-2018 00:00,0.0,0.0,0.0,1323.04869557395
27-Apr-2018 00:00,28-Apr-2018 00:00,0.0,0.0,4.0,5911.95130442605
28-Apr-2018 00:00,29-Apr-2018 00:00,0.0,0.0,0.0,1584.0
29-Apr-2018 00:00,30-Apr-2018 00:00,0.0,0.0,1.0,3255.0
30-Apr-2018 00:00,01-May-2018 00:00,0.0,0.0,3.0,2633.0
01-May-2018 00:00,02-May-2018 00:00,0.0,0.0,0.0,1973.0
02-May-2018 00:00,03-May-2018 00:00,0.0,0.0,3.0,4542.28478073214
03-May-2018 00:00,04-May-2018 00:00,0.0,0.0,53.0,6116.71521926786
04-May-2018 00:00,05-May-2018 00:00,0.0,0.0,3.0,4396.0
05-May-2018 00:00,06-May-2018 00:00,0.0,0.0,2.0,3633.09672713869
06-May-2018 00:00,07-May-2018 00:00,0.0,0.0,5.0,4425.21211049319
07-May-2018 00:00,08-May-2018 00:00,0.0,0.0,2.0,5867.69116236812
08-May-2018 00:00,09-May-2018 00:00,0.0,0.0,3.0,2462.0
09-May-2018 00:00,10-May-2018 00:00,0.0,0.0,0.0,2325.0
10-May-2018 00:00,11-May-2018 00:00,0.0,0.0,3.0,2794.0
11-May-2018 00:00,12-May-2018 00:00,0.0,0.0,2.0,2315.0
12-May-2018 00:00,13-May-2018 00:00,0.0,0.0,6.0,9349.0
13-May-2018 00:00,14-May-2018 00:00,0.0,0.0,3.0,1470.0
14-May-2018 00:00,15-May-2018 00:00,0.0,0.0,3.0,5455.0
15-May-2018 00:00,16-May-2018 00:00,0.0,0.0,2.0,4611.0
16-May-2018 00:00,17-May-2018 00:00,0.0,0.0,1.0,3813.0
17-May-2018 00:00,18-May-2018 00:00,0.0,0.0,0.0,2296.0
18-May-2018 00:00,19-May-2018 00:00,0.0,0.0,5.0,3349.0
19-May-2018 00:00,20-May-2018 00:00,0.0,0.0,5.0,8995.0
20-May-2018 00:00,21-May-2018 00:00,0.0,0.0,25.0,5254.0
21-May-2018 00:00,22-May-2018 00:00,0.0,0.0,7.0,2001.0
22-May-2018 00:00,23-May-2018 00:00,0.0,0.0,2.0,2692.0
23-May-2018 00:00,24-May-2018 00:00,0.0,0.0,5.0,4132.0
24-May-2018 00:00,25-May-2018 00:00,0.0,0.0,7.0,2356.0
25-May-2018 00:00,26-May-2018 00:00,0.0,0.0,0.0,3618.0
26-May-2018 00:00,27-May-2018 00:00,0.0,0.0,1.0,2906.0
27-May-2018 00:00,28-May-2018 00:00,0.0,0.0,4.0,1511.0
28-May-2018 00:00,29-May-2018 00:00,0.0,0.0,5.0,4082.60402345624
29-May-2018 00:00,30-May-2018 00:00,0.0,0.0,4.0,3963.39597654376
30-May-2018 00:00,31-May-2018 00:00,0.0,0.0,4.0,6069.0
31-May-2018 00:00,01-Jun-2018 00:00,0.0,0.0,0.0,3022.0
01-Jun-2018 00:00,02-Jun-2018 00:00,0.0,0.0,0.0,7487.0
02-Jun-2018 00:00,03-Jun-2018 00:00,0.0,0.0,2.0,926.0
03-Jun-2018 00:00,04-Jun-2018 00:00,0.0,0.0,6.0,5544.0
04-Jun-2018 00:00,05-Jun-2018 00:00,0.0,0.0,0.0,4822.0
05-Jun-2018 00:00,06-Jun-2018 00:00,0.0,0.0,0.0,780.0
06-Jun-2018 00:00,07-Jun-2018 00:00,0.0,0.0,4.0,4303.0
07-Jun-2018 00:00,08-Jun-2018 00:00,0.0,0.0,3.0,2823.0
08-Jun-2018 00:00,09-Jun-2018 00:00,0.0,0.0,2.0,3490.0
09-Jun-2018 00:00,10-Jun-2018 00:00,0.0,0.0,0.0,3999.96543669199
10-Jun-2018 00:00,11-Jun-2018 00:00,0.0,0.0,2.0,3900.03456330801
11-Jun-2018 00:00,12-Jun-2018 00:00,0.0,0.0,7.0,5201.0
12-Jun-2018 00:00,13-Jun-2018 00:00,0.0,0.0,0.0,2678.0
13-Jun-2018 00:00,14-Jun-2018 00:00,0.0,0.0,0.0,3766.0
14-Jun-2018 00:00,15-Jun-2018 00:00,0.0,0.0,0.0,4317.0
15-Jun-2018 00:00,16-Jun-2018 00:00,0.0,0.0,13.0,6236.0
16-Jun-2018 00:00,17-Jun-2018 00:00,0.0,0.0,1.0,2483.0
17-Jun-2018 00:00,18-Jun-2018 00:00,0.0,0.0,0.0,6371.0
18-Jun-2018 00:00,19-Jun-2018 00:00,0.0,0.0,1.0,5120.0
19-Jun-2018 00:00,20-Jun-2018 00:00,0.0,0.0,34.0,10316.0
20-Jun-2018 00:00,21-Jun-2018 00:00,0.0,0.0,34.0,12112.0
21-Jun-2018 00:00,22-Jun-2018 00:00,0.0,0.0,5.0,4267.0
22-Jun-2018 00:00,23-Jun-2018 00:00,0.0,0.0,2.0,2683.0
23-Jun-2018 00:00,24-Jun-2018 00:00,0.0,0.0,1.0,3576.0
24-Jun-2018 00:00,25-Jun-2018 00:00,0.0,0.0,8.0,4296.0
25-Jun-2018 00:00,26-Jun-2018 00:00,0.0,0.0,1.0,4419.0
26-Jun-2018 00:00,27-Jun-2018 00:00,0.0,0.0,5.0,5254.0
27-Jun-2018 00:00,28-Jun-2018 00:00,0.0,0.0,0.0,3909.0
28-Jun-2018 00:00,29-Jun-2018 00:00,0.0,0.0,4.0,4859.0
29-Jun-2018 00:00,30-Jun-2018 00:00,0.0,0.0,2.0,6712.0
30-Jun-2018 00:00,01-Jul-2018 00:00,0.0,0.0,0.0,6528.74971919869
01-Jul-2018 00:00,02-Jul-2018 00:00,0.0,0.0,14.0,5578.25028080131
02-Jul-2018 00:00,03-Jul-2018 00:00,0.0,0.0,0.0,1492.0
03-Jul-2018 00:00,04-Jul-2018 00:00,0.0,0.0,2.0,3728.0
04-Jul-2018 00:00,05-Jul-2018 00:00,0.0,0.0,28.0,12068.0
05-Jul-2018 00:00,06-Jul-2018 00:00,0.0,0.0,6.0,8344.0
06-Jul-2018 00:00,07-Jul-2018 00:00,0.0,0.0,26.0,9981.0
07-Jul-2018 00:00,08-Jul-2018 00:00,0.0,0.0,2.0,4135.0
08-Jul-2018 00:00,09-Jul-2018 00:00,0.0,0.0,0.0,2001.0
